"KEY","EN","BG","ESP","PT"
"STR_ACCOUNTING","Accounting","Отчет","Contabilidad","Contabilidade"
"STR_MACHINE_ACCOUNTING","Machine Accounting","Отчет на машината","Contabilidad de Máquina","Contabilidade de Máquinas"
"STR_FRENCH_ACCOUNTING","French Accounting","Френски отчет","Contabilidad de Máquina","Contabilidade Francesa"
"STR_GAME_ACCOUNTING","Game Accounting","Отчет за игри","Contabilidad de Juego","Contabilidade de Jogos"
"STR_TOTAL_DENOMINATION_ACCOUNTING","Total Denomination Accounting","Общо отчитане","Contabilidad de Denominación Total","Contabilidade de Denominação Total"
"STR_GAME_DENOMINATION_ACCOUNTING","Game Denomination Accounting","Отчет за деноминация","Contabilidad de Denominación de Juego","Contabilidade de Denominação do Jogo"
"STR_VOUCHER_ACCOUNTING","Voucher Accounting","Отчет на ваучери","Contabilidad de Vales","Contabilidade de Cupons"
"STR_SECURITY_ACCOUNTING","Security Accounting","Отчет за сигурност","Contabilidad de Seguridad","Contabilidade de Segurança"
"STR_ERROR_ACCOUNTING","Error Accounting","Грешка при отчитането","Contabilidad de Errores","Contabilidade de Erros"
"STR_BILL_ACCOUNTING","Bill Accounting","Отчет на банкноти","Contabilidad de Billetes","Contabilidade de Notas"
"STR_COIN_DENOMINATIONS_ACCOUNTING","Coin Denominations Accounting","Отчет на монети","Contabilidad de Denominaciones de Moneda","Contabilidade de Denominações de Moedas"
"STR_GAME_RATING","Game Rating","Машинно счетоводство","Contabilidad de Máquina","Classificação do Jogo"
"STR_ACCOUNTING_MAIN_GAME","Main Game","Основна Игра","Juego Principal","Jogo Principal"
"STR_ACCOUNTING_RESPIN_GAME","Respin Game","Респинова Игра","Juego Respin","Nova Rodada do Jogo"
"STR_ACCOUNTING_TOTAL","Total Accounting","Общо ","Contabilidad Total","Contabilidade Total"
,,,
"STR_CLEAR_PERIOD","Clear Period Accounting","Изчистване на период","Periodo de Limpieza","Limpar Contabilidade do Período"
"STR_CF_CHECKSUM","Cf Checksum","Чексума","Cf Checksum","Soma de Verificação CF"
"STR_DIAGNOSTICS","Diagnostics","Диагностика","Diagnósticos","Diagnósticos"
"STR_KEYBOARD_TEST","Keyboard Test","Тест на клавиатурата","Test de Teclado","Teste de Teclado"
"STR_DOORS_AND_KEY_TEST","Doors and Key Test","Тестове на врати и ключове","Test de Puertas y Llave","Teste de Portas e Chaves"
"STR_TOP_LIGHTS_TEST","Top Lights Test","Изпитване на горните светлини","Test de Luces Superiores","Teste de Luzes Superiores"
"STR_SOUND_TEST_SETUP","Sound Test/Setup","Тест / Настройка на звука","Test/Ajuste de Sonido","Teste/Configuração de Som"
"STR_VIDEO_TEST","Video Test","Видео тест","Test de Vídeo","Teste de Vídeo"
"STR_VSYNC_TEST","VSync Test","VSync тест","Test de VSync","Teste de VSync"
"STR_PRINTER_TEST","Printer Test","Тест на принтера","Test de Impresora","Teste de Impressora"
"STR_BILL_VALIDATOR_TEST","Bill Validator Test","Тестване на банкното-валидатор","Test de Validador de Billetes","Teste de Validação de Nota"
"STR_TOUCH_SCREEN_CALIBRATION","Touch Screen Calibration","Калибриране на тъч екран","Calibración de Pantalla Táctil","Calibração da Tela Sensível ao Toque"
"STR_SAS_GAME_IDS","SAS Game IDs","Идентификационни номера на SAS игри","ID de juegos SAS","IDs de Jogos SAS"
"STR_VIDEO_KB_CALIBRATION","Video Keyboard Calibration","Калибриране на видео клавиатурата","Calibración del teclado de video","Calibração de Teclado em Vídeo"
"STR_TEMPERATURE_MONITOR","Temperature Monitor","Следене на температура","Temperatura de Monitor","Monitoramento de Temperatura"
"STR_COIN_ACCEPTOR","Coin Acceptor","Приемник на монети","Admisor de Moneda","Aceitante de Moedas"
"STR_HOPPER","Hopper","Хопър","Tolva","Cesta"
"STR_NETWORK","Network","Мрежа","Red","Rede"
"STR_EXPORT_SETTINGS","Export Settings","Извличане на настройки","Exportar Configuración","Exportar Configurações"
"STR_GAME_EXPORT_ACCOUNTING","Export Game Accounting","Извличане на игрово счетоводство","Exportar Contabilidad de Juego","Exportar Contabilidade do Jogo"
"STR_EXPORT_PDF_SETTINGS","Export PDF Settings","Извличане на настройките в PDF","Exportar Configuración PDF","Exportar Configurações de PDF"
"STR_EXPORT_UPDATE_SETTINGS","Export Update Settings","Извличане на настройките за актуализация","Exportar Configuración para Actualizar","Exportar Configurações de Atualização"
