"KEY","EN","BG","ESP"
"STR_ACCOUNTING","Accounting","Отчет","Contabilidad"
"STR_MACHINE_ACCOUNTING","Machine Accounting","Отчет на машината","Contabilidad de Máquina"
"STR_FRENCH_ACCOUNTING","French Accounting","Френски отчет","Contabilidad de Máquina"
"STR_GAME_ACCOUNTING","Game Accounting","Отчет за игри","Contabilidad de Juego"
"STR_TOTAL_DENOMINATION_ACCOUNTING","Total Denomination Accounting","Общо отчитане","Contabilidad de Denominación Total"
"STR_GAME_DENOMINATION_ACCOUNTING","Game Denomination Accounting","Отчет за деноминация","Contabilidad de Denominación de Juego"
"STR_VOUCHER_ACCOUNTING","Voucher Accounting","Отчет на ваучери","Contabilidad de Vales"
"STR_SECURITY_ACCOUNTING","Security Accounting","Отчет за сигурност","Contabilidad de Seguridad"
"STR_ERROR_ACCOUNTING","Error Accounting","Грешка при отчитането","Contabilidad de Errores"
"STR_BILL_ACCOUNTING","Bill Accounting","Отчет на банкноти","Contabilidad de Billetes"
"STR_COIN_DENOMINATIONS_ACCOUNTING","Coin Denominations Accounting","Отчет на монети","Contabilidad de Denominaciones de Moneda"
"STR_GAME_RATING","Game Rating","Машинно счетоводство","Contabilidad de Máquina"
"STR_ACCOUNTING_MAIN_GAME","Main Game","Основна Игра",
"STR_ACCOUNTING_RESPIN_GAME","Respin Game","Респинова Игра",
"STR_ACCOUNTING_TOTAL","Total Accounting","Общо ",
,,,
"STR_CLEAR_PERIOD","Clear Period Accounting","Изчистване на период","Periodo de Limpieza"
"STR_CF_CHECKSUM","Cf Checksum","Чексума","Cf Checksum"
"STR_DIAGNOSTICS","Diagnostics","Диагностика","Diagnósticos"
"STR_KEYBOARD_TEST","Keyboard Test","Тест на клавиатурата","Test de Teclado"
"STR_DOORS_AND_KEY_TEST","Doors and Key Test","Тестове на врати и ключове","Test de Puertas y Llave"
"STR_TOP_LIGHTS_TEST","Top Lights Test","Изпитване на горните светлини","Test de Luces Superiores"
"STR_SOUND_TEST_SETUP","Sound Test/Setup","Тест / Настройка на звука","Test/Ajuste de Sonido"
"STR_VIDEO_TEST","Video Test","Видео тест","Test de Vídeo"
"STR_VSYNC_TEST","VSync Test","VSync тест","Test de VSync"
"STR_PRINTER_TEST","Printer Test","Тест на принтера","Test de Impresora"
"STR_BILL_VALIDATOR_TEST","Bill Validator Test","Тестване на банкното-валидатор","Test de Validador de Billetes"
"STR_TOUCH_SCREEN_CALIBRATION","Touch Screen Calibration","Калибриране на тъч екран","Calibración de Pantalla Táctil"
"STR_SAS_GAME_IDS","SAS Game IDs","Идентификационни номера на SAS игри","ID de juegos SAS"
"STR_VIDEO_KB_CALIBRATION","Video Keyboard Calibration","Калибриране на видео клавиатурата","Calibración del teclado de video"
"STR_TEMPERATURE_MONITOR","Temperature Monitor","Следене на температура","Temperatura de Monitor"
"STR_COIN_ACCEPTOR","Coin Acceptor","Приемник на монети","Admisor de Moneda"
"STR_HOPPER","Hopper","Хопър","Tolva"
"STR_NETWORK","Network","Мрежа","Red"
"STR_EXPORT_SETTINGS","Export Settings","Извличане на настройки","Exportar Configuración"
"STR_GAME_EXPORT_ACCOUNTING","Export Game Accounting","Извличане на игрово счетоводство","Exportar Contabilidad de Juego"
"STR_EXPORT_PDF_SETTINGS","Export PDF Settings","Извличане на настройките в PDF","Exportar Configuración PDF"
"STR_EXPORT_UPDATE_SETTINGS","Export Update Settings","Извличане на настройките за актуализация","Exportar Configuración para Actualizar"
"STR_IMPORT_SETTINGS","Import Settings","Въвеждане на настройки","Importar Configuración"
"STR_MARKET_SETTINGS","Market Settings","Маркет настройки","Market Configuración"
"STR_IMPORT_GAMES_SETTINGS","Import Games Settings","Въвеждане на настройки на игрите","Importar Juego Configuración"
"STR_GAME_VERSION_MISMATCH","Game Version Mismatch","Разминаване във версиите на игрите",
"STR_JURISDICTION_VERIFICATION_FAILED","Invalid Jurisdiction Configuration","Невалидна юрисдикционна конфигурация",
"STR_MARKET_VERIFICATION_FAILED","Invalid Market Configuration",,
"STR_PROGRAMS_VERSIONS","Programs Versions","Програмни версии","Versiones de Programas"
"STR_DEBUG_LOG","Debug Log","Отстраняване на грешки","Registro de Debug"
"STR_HISTORY","History","История","Historial"
"STR_MAIN_GAME_HISTORY","Game History","История на игрите","Historial de Juego"
