"KEY","EN","BG","ESP","PT"
"Accounting","Contabilidad","Contabilidade"
"Machine Accounting","Contabilidad de Máquina","Contabilidade de Máquinas"
"French Accounting","Contabilidad de Máquina","Contabilidade Francesa"
"Game Accounting","Contabilidad de Juego","Contabilidade de Jogos"
"Total Denomination Accounting","Contabilidad de Denominación Total","Contabilidade de Denominação Total"
"Game Denomination Accounting","Contabilidad de Denominación de Juego","Contabilidade de Denominação do Jogo"
"Voucher Accounting","Contabilidad de Vales","Contabilidade de Cupons"
"Security Accounting","Contabilidad de Seguridad","Contabilidade de Segurança"
"Error Accounting","Contabilidad de Errores","Contabilidade de Erros"
"Bill Accounting","Contabilidad de Billetes","Contabilidade de Notas"
"Coin Denominations Accounting","Contabilidad de Denominaciones de Moneda","Contabilidade de Denominações de Moedas"
"Game Rating","Contabilidad de Máquina","Classificação do Jogo"
"Main Game","Juego Principal","Jogo Principal"
"Respin Game","Juego Respin","Nova Rodada do Jogo"
"Total Accounting","Contabilidad Total","Contabilidade Total"
,,
"Clear Period Accounting","Periodo de Limpieza","Limpar Contabilidade do Período"
"Cf Checksum","Cf Checksum","Soma de Verificação CF"
"Diagnostics","Diagnósticos","Diagnósticos"
"Keyboard Test","Test de Teclado","Teste de Teclado"
"Doors and Key Test","Test de Puertas y Llave","Teste de Portas e Chaves"
"Top Lights Test","Test de Luces Superiores","Teste de Luzes Superiores"
"Sound Test/Setup","Test/Ajuste de Sonido","Teste/Configuração de Som"
"Video Test","Test de Vídeo","Teste de Vídeo"
"VSync Test","Test de VSync","Teste de VSync"
"Printer Test","Test de Impresora","Teste de Impressora"
"Bill Validator Test","Test de Validador de Billetes","Teste de Validação de Nota"
"Touch Screen Calibration","Calibración de Pantalla Táctil","Calibração da Tela Sensível ao Toque"
"SAS Game IDs","ID de juegos SAS","IDs de Jogos SAS"
"Video Keyboard Calibration","Calibración del teclado de video","Calibração de Teclado em Vídeo"
"Temperature Monitor","Temperatura de Monitor","Monitoramento de Temperatura"
"Coin Acceptor","Admisor de Moneda","Aceitante de Moedas"
"Hopper","Tolva","Cesta"
"Network","Red","Rede"
